Record creation date,Maker,Model,Model year,Begin date of manufacturing,End date of manufacturing,Potential number of units affected,Defect summary,Consequence summary,Corrective summary
20150105,MCI,J4500,2015,20131223,20141219,109,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain model year 2013-2015 Land Rover Range Rover vehicles manufactured August 23, 2012, to February 5, 2015, and 2014-2015 Range Rover Sport vehicles manufactured June 16, 2013, to February 5, 2015.  In the affected vehicles, a light weight adult front seat passenger may be improperly classified by the occupant classification system (OCS) and, as a result, the front seat passenger air bag may be disabled.","If the front passenger air bag is disabled during a vehicle crash, there is an increased risk of injury.","Land Rover will notify owners, and dealers will update the OCS software, free of charge. The recall is expected to begin April 17, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is P059."
20150105,MCI,J4500,2014,20131223,20141219,109,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain model year 2013-2015 Land Rover Range Rover vehicles manufactured August 23, 2012, to February 5, 2015, and 2014-2015 Range Rover Sport vehicles manufactured June 16, 2013, to February 5, 2015.  In the affected vehicles, a light weight adult front seat passenger may be improperly classified by the occupant classification system (OCS) and, as a result, the front seat passenger air bag may be disabled.","If the front passenger air bag is disabled during a vehicle crash, there is an increased risk of injury.","Land Rover will notify owners, and dealers will update the OCS software, free of charge. The recall is expected to begin April 17, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is P059."
20150105,MCI,J4500,2013,20131223,20141219,109,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain model year 2013-2015 Land Rover Range Rover vehicles manufactured August 23, 2012, to February 5, 2015, and 2014-2015 Range Rover Sport vehicles manufactured June 16, 2013, to February 5, 2015.  In the affected vehicles, a light weight adult front seat passenger may be improperly classified by the occupant classification system (OCS) and, as a result, the front seat passenger air bag may be disabled.","If the front passenger air bag is disabled during a vehicle crash, there is an increased risk of injury.","Land Rover will notify owners, and dealers will update the OCS software, free of charge. The recall is expected to begin April 17, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is P059."
20150107,VICTORY,GUNNER,2015,20131119,20140204,2342,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain model year 2013-2015 Land Rover Range Rover vehicles manufactured August 23, 2012, to February 5, 2015, and 2014-2015 Range Rover Sport vehicles manufactured June 16, 2013, to February 5, 2015.  In the affected vehicles, a light weight adult front seat passenger may be improperly classified by the occupant classification system (OCS) and, as a result, the front seat passenger air bag may be disabled.","If the front passenger air bag is disabled during a vehicle crash, there is an increased risk of injury.","Land Rover will notify owners, and dealers will update the OCS software, free of charge. The recall is expected to begin April 17, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is P059."
20150107,VICTORY,HAMMER EIGHT BALL,2013,20130502,20131205,2342,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain model year 2013-2015 Land Rover Range Rover vehicles manufactured August 23, 2012, to February 5, 2015, and 2014-2015 Range Rover Sport vehicles manufactured June 16, 2013, to February 5, 2015.  In the affected vehicles, a light weight adult front seat passenger may be improperly classified by the occupant classification system (OCS) and, as a result, the front seat passenger air bag may be disabled.","If the front passenger air bag is disabled during a vehicle crash, there is an increased risk of injury.","Land Rover will notify owners, and dealers will update the OCS software, free of charge. The recall is expected to begin April 17, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is P059."
20150107,VICTORY,HAMMER EIGHT BALL,2014,20130502,20131205,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,VEGAS EIGHT BALL,2013,20130502,20131204,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,JACKPOT,2013,20130424,20131204,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,HIGH BALL,2013,20130502,20131204,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
20150107,VICTORY,VEGAS EIGHT BALL,2014,20130502,20131204,2342,"Mercedes-Benz USA, LLC. (MBUSA) is recalling certain model year 2013-2015 E350 Sedan, E350 4Matic Sedan, E350 4Matic Station Wagon, E400 Hybrid Sedan, CLS 550 CGI, and CLS550 4Matic, 2013-2014 E550 4Matic Sedan, 2013 E63 Sedan, E63 Station Wagon and CLS63, 2014-2015 CLS63 4Matic, E63 4Matic Sedan, E63 4Matic Sedan ""S"", and E63 4Matic Station Wagon, 2015 CLS400, 2015 E400 Sedan, E400 4Matic Sedan and CLS400 4Matic and 2014 CLS63 ""S"".  The affected vehicles have a rubber seal at the back of the engine bay that may temporarily stick to the hood when it is opened and then may fall into the engine bay when the hood is closed.","If the rubber seal falls into the engine compartment, it may contact parts of the exhaust system, increasing the risk of a fire.","MBUSA will notify owners, and dealers will attach four additional retaining clips to the rubber seal, free of charge. The recall is expected to begin by mid-March 2015. Owners may contact MBUSA customer service at 1-201-573-5339.  MBUSA's number for this recall is 2015020001."
